engagement_id,substitution_clause,substitution_fettered,substitution_attempted,substitute_payment,decides_what_work_and_what_order,decides_how_work_performed,hours_and_location_set,report_to_a_manager,clients_last_12_months,own_trading_name,own_insurance,own_vat,defective_work_corrected,loss_on_engagement,who_provide_equipment,presented_as_part_of_organisation,staff_benefits_training_management,total_engagement_length,extension_count,exclusivity_clause,practical_bar,paid_for_time_or_completion
ENG-0011,True,True,"The worker arranged for a qualified colleague to cover one shift. The client approved the colleague after checking insurance and certification, and the worker paid them.",worker,The client sets the daily cleaning schedule and determines which areas must be completed first.,The worker follows the client's cleaning standards but chooses the detailed sequence and products within safety limits.,"The client specifies evening shifts and the building location, with a small amount of flexibility around start time.",The worker reports completion to the facilities supervisor and receives occasional inspection feedback.,3,True,True,False,The worker must return to rectify missed areas without another payment. They pay any helper used for the work.,"The worker can make a small loss if replacement labour, supplies, or extra travel costs exceed the agreed fee.",mixed,The worker wears a plain access badge and is known to building staff as an external cleaner. They are not included in the client's employee directory.,"They receive a site induction and occasional safety reminders, but no benefits or close supervision.",27,4,False,"Evening shifts leave daytime availability for other clients, and the worker has several smaller cleaning contracts.",completion
ENG-0012,True,False,The consultant delegated part of the research to a junior researcher without seeking approval. The client accepted the report from the consultant as the contracting party.,worker,The consultant agreed the outcome with the client and independently planned the research stages and order.,"The consultant selects the methodology, interview format, and analysis tools.",There are no set hours or required workplace. Interviews are booked around participant availability.,The consultant reports on milestones to a sponsor but is not managed day to day.,6,True,True,True,The consultant must amend work that fails the agreed scope without extra payment. Rework by any assistant is funded from the project fee.,The consultant bears the risk of lost time and can make a substantial loss if recruitment or research costs exceed the quote.,worker,The consultant uses a separate company identity and is described in documents as an external adviser. They are not presented as a member of the client's workforce.,No benefits or internal training are offered. The client provides only a project briefing and access to relevant documents.,13,1,False,The consultant can accept other work and has reserved only agreed milestone dates for this project.,completion
ENG-0013,False,,No attempt was made. The client required the worker's personal attendance at each scheduled lesson.,unspecified,"The school sets the curriculum, lesson timetable, and order of topics.",The teacher chooses classroom examples and teaching style within the school's curriculum and safeguarding rules.,"Teaching hours and classroom location are fixed by the school timetable, with preparation done at home.",The teacher reports to the head of department and attends termly planning meetings.,1,False,True,False,The school manages missed or inadequate lessons through additional teaching or reassignment. The teacher does not normally pay the correction cost.,There is minimal financial risk because the teacher is paid per teaching session and uses school facilities.,client,Students and parents are told that the teacher is part of the school faculty. The teacher uses school systems and an institutional email address.,"The teacher attends safeguarding training and receives regular departmental guidance, but is not eligible for the school's pension scheme.",10,1,False,"The school timetable occupies set weekdays, leaving limited but usable time for private tutoring outside those hours.",time
ENG-0014,True,True,A substitute was proposed for a weekend delivery run but failed the client's driving and security checks. The worker completed the run instead.,worker,The client provides the delivery list and route priorities. The worker can adjust the sequence for traffic or access reasons.,The worker chooses the route and loading method but must comply with the client's scanning and proof-of-delivery procedures.,"The client sets collection times and delivery windows, while the worker starts from a chosen depot.","The worker has a dispatch contact who tracks progress and handles exceptions, but no continuous manager.",2,True,True,False,The worker must revisit failed deliveries at their own cost where the failure was due to their error. Customer-caused failures are paid separately.,"Fuel, vehicle maintenance, parking, and unpaid return journeys can leave the worker with a loss.",worker,The vehicle is unbranded and the worker invoices under a trading name. Recipients see them as an independent courier rather than client staff.,"A short app and safety induction is required, but there are no benefits and little direct supervision.",7,1,False,"The delivery windows occupy much of the daytime, but the worker takes evening and weekend routes for other clients.",both
ENG-0015,True,True,"The contractor named an assistant who met the stated qualification requirements. The client approved the assistant, and the contractor paid them from the project fee.",worker,The contractor agrees outcomes with the client and chooses the order in which the audit areas are examined.,"The contractor selects the audit approach and working papers, subject to professional standards and the agreed scope.","The contractor sets working hours and works remotely, with occasional pre-arranged visits to the client's premises.",The contractor presents findings to a finance director but is not subject to line management.,9,True,True,True,The contractor corrects errors in the final report without further charge. The cost of assistant time and any extra checking remains with the contractor.,The fixed fee exposes the contractor to loss if records are incomplete or the assistant requires extensive supervision.,worker,The contractor uses an independent practice name and is described as an external auditor. They have no employee title or internal reporting position.,"No benefits or training are provided, apart from a client confidentiality briefing.",5,0,False,"Other engagements are actively undertaken, with this work scheduled around fixed reporting deadlines.",completion
ENG-0016,False,,No attempt was made because the worker was recruited for a role requiring direct access to confidential client accounts.,unspecified,The account director assigns client portfolios and prioritises requests through a shared queue.,"The worker follows scripted processes and approval limits set by the company, with little choice over method.",The company sets shifts between 7:00 and 19:00 and requires attendance at its contact centre.,"The worker reports to a team leader, attends daily huddles, and is subject to call-quality monitoring.",1,False,False,False,The company handles customer remediation and quality corrections. The worker may receive coaching but does not pay for the correction.,The worker bears no meaningful commercial risk and is paid for scheduled hours.,client,"The worker uses the company's phone system, email, badge, and scripts. Customers are told they are speaking to a company representative.","They receive structured induction, ongoing coaching, and access to selected staff discounts, but not the full permanent employee package.",31,4,True,Rotating shifts and the exclusivity clause make other employment practically unavailable.,time
ENG-0017,True,False,The gardener sent a trained helper for two visits and informed the client afterwards. The client accepted the work without requiring approval.,worker,The gardener agrees the seasonal outcome with the property owner and chooses the order of tasks on each visit.,"The gardener decides the planting, pruning, and maintenance methods, taking account of the client's preferences.",The client specifies the property but not the hours. Visits are arranged around weather and the gardener's route.,There is no manager or formal reporting line. The gardener sends photographs and an occasional progress note.,12,True,True,True,The gardener returns to correct poor workmanship at their own cost. Replacement plants are chargeable where the failure was caused by the client's instructions.,"The gardener can make a loss through plant mortality, weather delays, fuel costs, or paying a helper more than expected.",worker,The gardener trades under a distinctive local business name and is clearly presented as an outside contractor.,No benefits or training are provided. The gardener manages any helper and works without client supervision.,24,3,False,The gardener maintains several properties and schedules this one alongside them. Other work is routine and expected.,both
ENG-0018,True,True,The consultant asked to use a colleague for a client workshop. Approval was refused because the colleague had not completed the client's security induction.,worker,"The client defines the workshop agenda and required outputs, while the consultant chooses the order of preparation tasks.","The consultant chooses the facilitation techniques and materials, subject to the client's agreed learning objectives.","Workshop dates and venue are fixed by the client, but preparation hours are entirely flexible.",The consultant reports to a programme sponsor at milestone meetings and has no day-to-day manager.,3,True,True,False,The consultant must repeat or amend a workshop where the failure is their responsibility. Travel and preparation for the repeat are normally not charged.,The consultant can lose money if a workshop is cancelled after materials and travel have been booked.,mixed,"They are introduced as an independent facilitator and use their own branded materials, although the client logo appears on the event slides.",There are no benefits or regular training. The client provides a one-hour briefing on internal terminology and policies.,2,0,False,"Only the agreed workshop dates are blocked, leaving substantial capacity for other clients.",both
ENG-0019,False,,No attempt was made. The worker was engaged to provide continuity for a vulnerable service user.,unspecified,The care coordinator sets the visit schedule and prioritises tasks according to the service user's care plan.,"The worker follows the care plan and safeguarding procedures, with some judgment about routine household support.","Visit times and the service user's home are fixed in the rota, including some weekends.","The worker reports to a care supervisor, logs each visit, and attends review calls when requested.",1,False,True,False,The agency arranges a replacement visit or additional support where care is missed. The worker is not charged for that remedial support.,The worker has no significant opportunity to make a loss because they are paid per visit and supply only minor personal items.,mixed,The worker wears an agency identification badge and is introduced to the family as an agency care worker.,"They complete mandatory safeguarding training and receive regular supervision, but do not receive the agency's full employee benefits.",20,2,False,"The rota leaves some free days, but fixed visits and travel between them restrict additional work.",time
ENG-0020,True,False,The contractor used another developer for a small integration task and paid them directly. The client was informed in the completion note and raised no objection.,worker,"The contractor agrees broad features with the client and decides the development sequence, sprint length, and release order.","The contractor selects the programming tools, architecture, testing approach, and working hours.","The engagement is fully remote with no fixed hours, although fortnightly demonstrations are scheduled.","The client has a product contact who reviews demonstrations, but the contractor has no manager or staff reporting line.",5,True,True,True,The contractor fixes defects against the agreed acceptance tests without extra payment. Any subcontractor or additional hosting cost comes out of the contractor's fee.,"The contractor can make a considerable loss if the estimate is wrong, requirements change, or specialist help is needed.",worker,The contractor uses an independent studio name and is shown in project records as an external supplier. They do not receive a client title or staff email address.,"No benefits, training, or supervision are supplied. The client provides access credentials and a product briefing only.",12,2,False,The contractor works on two other software projects and schedules this engagement around agreed demonstrations and releases.,completion
ENG-0021,true,true,"The worker asked to send a colleague for a week in August. The client refused without giving a reason and the worker attended as normal.",worker,"The site manager allocates each day's tasks and sets the order.","The worker follows the client's documented method statements.","Hours are 08:00 to 16:30 on site, Monday to Friday.","Reports to the site manager at the start of each day.",1,false,false,false,"Rework is carried out during normal paid hours at no cost to the worker.","No realistic prospect of making a loss.",client,"Wears the client's branded workwear and appears on the site roster.","Receives the client's safety training and attends team briefings.",26,3,true,"The full-time site hours leave no scope for other work.",time
ENG-0022,true,false,"The clause has never been used in four years. The worker has attended every engagement personally and no substitute has ever been proposed or discussed.",worker,"The worker selects which jobs to take from those offered.","The worker decides the method and sequence of work.","Deadlines are agreed but daily hours are the worker's own.","No manager; liaises with a contract administrator on scope.",4,true,true,true,"Defects are corrected at the worker's own cost under a 12-month warranty.","Could make a loss if materials are underestimated.",worker,"Invoices under the worker's own trading name.","No benefits, training or appraisal from the client.",48,4,false,"No restriction, though the workload has been near continuous.",completion
